ADH1B,ALX1,APOBEC3B,ARG1,ASTN2,BNC1,BOLL,CDH3,CHST8,CLGN,CNFN,COL1A1,COL21A1,COL3A1,COL5A2,CRTAC1,CXCL3,DLGAP1,DSG2,ECT2,ERC2,F10,FAT1,GAD1,GAST,GDF7,GFRA2,GREM1,HBA1,HOXC11,HOXD11,HSF2BP,HSFY2,HTRA3,IDO1,ITPKA,KCNJ12,KRT17,KRT8,LAMA3,LAMC2,LCN10,LGI1,MAP7D2,MASP1,MESP2,MYO10,NAT8B,NLGN4Y,NPNT,PCNAP1,PLAU,PLOD2,PTGS2,PTPRZ1,PXDN,RASGRP2,RPTN,SCARA5,SCN7A,SDS,Sep-01,SLC28A3,SNORA56,SORCS1,SPP1,TCAM1P,TMSB15A,TNFRSF12A,TNFSF18,VCAN,VEGFA,VSIG8,Class
88,2,85,22,31,242,2,1597,18,42,7110,1850,15,6055,872,40,18,7,460,729,16,27,3592,4,0,40,119,595,44,0,2,15,2,11,341,5,145,3429,659,1280,1016,110,11,13,304,4,590,0,214,317,0,267,372,88,493,247,1553,5260,90,35,7,1692,40,0,139,66,0,4,60,2,705,941,143,UPPP
876,10,147,52,113,464,31,1392,165,31,3804,928,82,5371,1124,82,21,124,608,660,278,155,4000,41,0,31,299,1103,240,82,0,41,0,165,381,10,773,1753,577,1526,1041,340,144,82,938,10,897,52,31,649,0,258,371,237,670,536,990,9309,454,175,72,990,31,0,794,1041,134,0,113,10,1784,1155,52,UPPP
151,2,48,4,43,116,4,1517,51,79,1463,511,40,4415,1008,21,5,6,605,1055,11,55,2286,5,0,54,81,409,54,1,1,17,2,25,826,8,192,2459,785,1700,1426,196,10,14,299,0,302,1,226,382,0,477,432,71,109,141,1706,7215,167,23,8,1634,53,0,224,343,2,22,44,0,450,759,72,UPPP
264,0,150,15,41,155,14,1514,9,49,4005,836,56,6393,1110,28,20,10,591,1022,30,41,4360,6,0,13,110,516,30,4,0,6,0,20,1223,4,57,2688,457,1100,1166,41,8,36,282,4,461,1,214,280,0,661,374,263,733,121,789,6818,188,66,32,1332,39,0,65,56,1,9,108,5,934,733,51,UPPP
258,1,3,40,38,216,10,1177,23,101,4092,1779,58,7731,1351,103,26,8,435,943,14,85,3613,11,0,38,126,384,68,4,1,8,0,68,834,6,120,2220,276,1203,1053,142,6,14,387,4,590,2,1,341,0,381,627,242,390,283,2399,2305,311,78,12,1840,49,2,94,62,1,6,54,5,1289,879,41,UPPP
813,0,57,19,97,176,3,642,27,78,2637,1409,86,10536,1472,123,3,5,505,754,12,152,3289,14,1,77,103,367,19,1,0,4,0,68,331,1,90,3213,358,1011,611,231,21,8,643,4,492,0,254,306,0,268,544,386,602,198,1599,1254,551,141,3,1461,29,1,205,85,0,10,48,3,1718,750,9,UPPP
152,2,78,19,69,103,8,1272,14,53,1084,1182,51,9979,1748,15,15,1,496,1137,27,82,2302,9,0,20,105,873,334,2,0,1,0,27,1169,4,196,1727,353,1351,1307,224,10,26,432,1,337,5,10,268,1,440,578,309,112,382,2883,3972,135,30,10,2398,44,0,203,105,4,14,70,0,1314,820,44,UPPP
795,0,61,24,110,353,12,918,10,108,3071,2741,181,12624,2254,54,19,5,544,918,33,134,4800,38,0,33,197,1483,65,2,3,12,0,71,362,0,64,3280,263,1697,1038,77,49,21,934,0,795,7,12,409,3,315,737,501,790,518,1299,682,503,97,17,1339,28,3,202,120,3,5,184,10,2297,1050,54,UPPP
279,0,47,278,40,405,12,842,23,108,8202,1448,167,9638,1498,912,15,1,687,1195,17,78,5024,21,0,28,84,446,50,0,0,6,0,70,97,4,56,2815,308,1560,961,44,18,24,509,5,905,0,4,388,5,241,801,371,567,308,828,2778,481,115,12,773,57,0,131,48,0,7,48,2,1553,1211,603,UPPP
244,0,71,15,72,154,5,1011,27,60,2079,1148,79,10472,1140,18,12,8,452,824,12,96,2747,5,0,43,150,569,97,2,2,5,0,49,511,9,125,1163,264,1269,892,148,18,11,464,3,403,2,2,307,3,405,571,261,209,258,1956,2689,340,53,15,2119,53,0,200,377,0,15,44,3,1122,731,39,UPPP
313,0,98,17,88,136,6,1153,9,44,702,1310,69,8961,1588,17,6,1,944,782,18,80,4400,3,0,19,187,311,97,0,1,8,0,106,1471,8,180,2961,624,1390,1092,143,10,12,265,0,453,3,5,284,1,649,470,287,128,440,2073,1431,533,114,12,2235,108,0,122,453,1,4,84,1,1866,1021,13,UPPP
831,1,59,44,55,213,10,627,16,164,5197,2015,169,12135,1838,244,13,6,875,709,18,365,3954,2,0,29,142,252,327,2,4,4,0,167,146,6,439,1842,763,1283,685,78,43,21,378,1,622,2,298,339,1,478,734,460,433,380,936,825,1921,957,5,821,58,0,161,592,2,9,101,1,2608,1449,13,UPPP
623,0,32,75,60,336,3,615,20,169,11513,1175,254,10125,1490,752,34,6,807,852,21,209,3906,13,0,59,101,260,273,0,3,7,0,74,136,4,73,1907,414,1106,704,74,37,7,523,3,790,2,3,355,0,294,736,97,215,297,986,483,1450,209,8,747,12,0,317,57,0,7,69,1,1412,996,124,UPPP
195,0,123,18,30,258,6,1416,16,43,2684,1353,41,5394,915,10,20,8,641,785,14,22,3296,4,0,34,55,367,90,0,0,6,0,14,775,6,189,2363,613,1122,1122,97,4,4,247,2,621,2,178,331,6,400,489,377,554,201,2377,4219,91,34,6,1759,55,0,91,452,0,10,85,0,702,929,67,UPPP
282,1,64,146,40,734,4,757,8,308,14052,704,167,7949,1634,749,2,0,1313,1111,7,178,9489,12,0,19,119,203,36,0,2,8,0,124,54,3,31,2962,435,2475,1049,29,37,17,766,3,1092,1,201,496,1,387,987,425,637,349,304,3077,1876,202,1,318,50,0,241,119,0,4,47,1,1928,938,1391,UPPP
556,2,38,54,43,189,0,988,11,65,5524,1022,67,7753,1211,347,7,2,703,886,11,152,3349,11,0,37,50,282,224,4,2,0,0,50,408,4,100,3928,413,1237,749,98,24,13,286,0,697,0,228,367,2,311,621,243,135,241,1428,1296,640,132,4,1294,24,0,167,98,4,13,48,2,1215,1018,53,UPPP
529,2,87,31,64,118,9,853,18,56,1302,1805,35,8116,1316,11,13,0,673,905,13,35,3495,9,0,29,82,380,77,0,0,4,4,42,902,9,231,1451,444,1416,798,80,9,15,258,2,356,2,271,233,2,431,413,182,178,273,1969,3425,164,133,15,1722,47,0,205,315,0,16,33,0,1145,855,33,UPPP
286,1,52,32,79,152,19,1057,38,64,1871,2653,69,8557,1157,14,7,1,578,763,15,70,3554,3,0,36,102,237,24,0,0,6,0,25,440,6,165,1571,377,1519,886,153,17,20,384,1,509,1,1,360,1,290,496,42,379,276,2160,2361,97,65,12,1804,52,1,250,348,0,15,51,1,1168,713,44,UPPP
81,0,37,37,15,837,3,683,6,146,12691,3049,108,9660,1586,964,2,10,950,610,11,170,4086,0,0,34,108,307,245,0,0,3,3,133,10,5,40,1120,519,1997,466,34,34,5,333,0,1294,0,309,362,5,167,757,136,367,492,239,659,1104,44,0,180,24,0,65,2,2,0,73,3,1608,1694,49,UPPP
676,2,28,70,45,141,7,488,16,64,2094,1053,66,7822,1171,212,4,7,617,1185,21,127,3212,14,0,25,121,323,69,0,2,2,0,59,321,5,45,652,243,1132,554,46,29,4,522,2,408,0,4,291,0,399,512,87,232,342,706,993,472,96,2,1032,7,2,137,257,0,16,16,2,1071,444,23,UPPP
